smiles,atom_type,atom_idx,original_prediction,modified_prediction,importance
Cc1ccc(Cl)cc1Cl,Carbon,0,-3.282125473022461,-4.724313259124756,1.442187786102295
Cc1ccc(Cl)cc1Cl,Carbon,1,-3.282125473022461,-3.6865487098693848,0.40442323684692383
Cc1ccc(Cl)cc1Cl,Carbon,2,-3.282125473022461,-5.3682122230529785,2.0860867500305176
Cc1ccc(Cl)cc1Cl,Carbon,3,-3.282125473022461,-4.551353931427002,1.269228458404541
Cc1ccc(Cl)cc1Cl,Carbon,4,-3.282125473022461,-3.935701370239258,0.6535758972167969
Cc1ccc(Cl)cc1Cl,Carbon,6,-3.282125473022461,-3.843740463256836,0.561614990234375
Cc1ccc(Cl)cc1Cl,Carbon,7,-3.282125473022461,-3.8673696517944336,0.5852441787719727
Cc1ccc(Cl)cc1Cl,Chlorine,5,-3.282125473022461,-4.16323184967041,0.8811063766479492
Cc1ccc(Cl)cc1Cl,Chlorine,8,-3.282125473022461,-4.243406772613525,0.9612812995910645
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,1,-4.246936798095703,-4.862946510314941,0.6160097122192383
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,3,-4.246936798095703,-4.312282085418701,0.06534528732299805
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,4,-4.246936798095703,-4.134676456451416,0.11226034164428711
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,5,-4.246936798095703,-4.1430206298828125,0.10391616821289062
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,8,-4.246936798095703,-4.330955505371094,0.08401870727539062
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,9,-4.246936798095703,-4.320708751678467,0.07377195358276367
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,10,-4.246936798095703,-4.573172569274902,0.3262357711791992
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,11,-4.246936798095703,-4.879923343658447,0.6329865455627441
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,13,-4.246936798095703,-4.573172569274902,0.3262357711791992
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,14,-4.246936798095703,-4.320708751678467,0.07377195358276367
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,15,-4.246936798095703,-4.211300849914551,0.035635948181152344
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,17,-4.246936798095703,-4.640589237213135,0.39365243911743164
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Carbon,18,-4.246936798095703,-4.520949363708496,0.27401256561279297
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Nitrogen,6,-4.246936798095703,-3.9289608001708984,0.3179759979248047
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Nitrogen,7,-4.246936798095703,-3.827179431915283,0.4197573661804199
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Oxygen,0,-4.246936798095703,-5.229121685028076,0.982184886932373
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,Oxygen,2,-4.246936798095703,-5.982000350952148,1.7350635528564453
