id,smiles,actual_solubility,predicted_solubility,error,abs_error
[Na+].Oc1ccc(cc1)[S]([O-])(=O)=O,[Na+].Oc1ccc(cc1)[S]([O-])(=O)=O,-8.36319,-0.05008649826049805,8.313103199005127,8.313103199005127
O=[Se]=O,O=[Se]=O,1.3647745,-6.215503692626953,-7.580278158187866,7.580278158187866
O.O.O.O.O.O.O.O.O.[Al+3].[Al+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,O.O.O.O.O.O.O.O.O.[Al+3].[Al+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,-7.4985585,-0.3319644629955292,7.166594058275223,7.166594058275223
[NH4+].[Fe++].[Fe+3].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N,[NH4+].[Fe++].[Fe+3].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N,-7.1550884,-0.24898144602775574,6.9061069786548615,6.9061069786548615
CCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCC(CC)C(O)=O.OCC(CO)(CO)CO,CCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCC(CC)C(O)=O.OCC(CO)(CO)CO,-8.765532,-2.1760075092315674,6.589524030685425,6.589524030685425
[H+].[Cl-].NC(N)=N.OC(=O)C1=NN(c2ccc(cc2)[S](O)(=O)=O)C(=O)C1N=Nc3ccc(cc3)[S](O)(=O)=O,[H+].[Cl-].NC(N)=N.OC(=O)C1=NN(c2ccc(cc2)[S](O)(=O)=O)C(=O)C1N=Nc3ccc(cc3)[S](O)(=O)=O,-7.751247,-1.2895796298980713,6.46166729927063,6.46166729927063
C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,0.52929556,-5.856450080871582,-6.385745644569397,6.385745644569397
ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C5(Cl)C(=C(Cl)C4(Cl)C5(Cl)Cl)Cl,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C5(Cl)C(=C(Cl)C4(Cl)C5(Cl)Cl)Cl,-13.1719,-6.870054721832275,6.301845073699951,6.301845073699951
OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO.OC(=O)CCCCCNc1nc(NCCCCCC(O)=O)nc(NCCCCCC(O)=O)n1,OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO.OC(=O)CCCCCNc1nc(NCCCCCC(O)=O)nc(NCCCCCC(O)=O)n1,-6.6832013,-0.3880801796913147,6.295121133327484,6.295121133327484
[F].[F].[F].[Cr],[F].[F].[F].[Cr],-0.33841664,-6.521388530731201,-6.182971894741058,6.182971894741058
O[S](O)(=O)=O.O=[Ti],O[S](O)(=O)=O.O=[Ti],-5.9613943,0.1580953598022461,6.119489669799805,6.119489669799805
[Zr++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,[Zr++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,-8.702012,-2.7248177528381348,5.977194309234619,5.977194309234619
[Cu++].CCCCCCCC\C=C/CCCCCCCC([O-])=O.CCCCCCCC\C=C/CCCCCCCC([O-])=O,[Cu++].CCCCCCCC\C=C/CCCCCCCC([O-])=O.CCCCCCCC\C=C/CCCCCCCC([O-])=O,-11.998938,-6.073125839233398,5.925811767578125,5.925811767578125
CCCCCCC(O)=O.CC(C)(CO)CO,CCCCCCC(O)=O.CC(C)(CO)CO,-6.670869,-0.9754297733306885,5.695439100265503,5.695439100265503
[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,-5.498714,0.12642765045166016,5.625141620635986,5.625141620635986
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,-7.5346284,-2.149660587310791,5.384967803955078,5.384967803955078
[Ca++].[O-][PH]([O-])=O,[Ca++].[O-][PH]([O-])=O,0.94877696,-4.3583245277404785,-5.307101488113403,5.307101488113403
[Be]=O,[Be]=O,-7.2551165,-1.9737240076065063,5.281392455101013,5.281392455101013
[H+].[Mn++].[O-]C(=O)c1cc2ccccc2c(N=Nc3ccc4ccccc4c3[S]([O-])(=O)=O)c1[O-],[H+].[Mn++].[O-]C(=O)c1cc2ccccc2c(N=Nc3ccc4ccccc4c3[S]([O-])(=O)=O)c1[O-],-7.6770043,-2.456179618835449,5.220824718475342,5.220824718475342
[Ca++].Cc1ccccc1NC(=O)CC(=O)CN=Nc2ccc(cc2[N+]([O-])=O)[S]([O-])(=O)=O.Cc3ccccc3NC(=O)CC(=O)CN=Nc4ccc(cc4[N+]([O-])=O)[S]([O-])(=O)=O,[Ca++].Cc1ccccc1NC(=O)CC(=O)CN=Nc2ccc(cc2[N+]([O-])=O)[S]([O-])(=O)=O.Cc3ccccc3NC(=O)CC(=O)CN=Nc4ccc(cc4[N+]([O-])=O)[S]([O-])(=O)=O,-7.739804,-2.5649619102478027,5.17484188079834,5.17484188079834
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.65273833,-4.516885280609131,-5.169623613357544,5.169623613357544
CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,-6.8304567,-1.7030142545700073,5.127442479133606,5.127442479133606
CCCCCC=O.CCCCC=O.O=CCC=O,CCCCCC=O.CCCCC=O.O=CCC=O,-5.412222,-0.3140532970428467,5.098168611526489,5.098168611526489
[NH4+].[Mn+3].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,[NH4+].[Mn+3].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,-5.392553,-0.38849779963493347,5.004055052995682,5.004055052995682
[Sr],[Sr],-1.1139433,-6.002875804901123,-4.888932466506958,4.888932466506958
COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2,COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2,-7.505542,-2.6881184577941895,4.817423343658447,4.817423343658447
CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3oc4ccc(cc4n3)[S](N)(=O)=O,CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3oc4ccc(cc4n3)[S](N)(=O)=O,-7.8310986,-3.0154342651367188,4.815664291381836,4.815664291381836
[O--].[Zr+4].[O-][S]([O-])(=O)=O,[O--].[Zr+4].[O-][S]([O-])(=O)=O,-7.7060475,-2.9317407608032227,4.774306774139404,4.774306774139404
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2c(N)cccc2N,[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2c(N)cccc2N,-7.171667,-2.4006848335266113,4.770982265472412,4.770982265472412
[O--].[O--].[Mg++].[Ca++],[O--].[O--].[Mg++].[Ca++],-1.9883562,-6.735533237457275,-4.747177004814148,4.747177004814148
CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C,CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C,0.6452233,-4.079234600067139,-4.724457919597626,4.724457919597626
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.OCC(CO)(CO)CO,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.OCC(CO)(CO)CO,-6.9567723,-2.3085989952087402,4.6481733322143555,4.6481733322143555
[F-].[F-].[F-].[La+3],[F-].[F-].[F-].[La+3],-5.5353985,-0.8875513076782227,4.6478471755981445,4.6478471755981445
