tsne_1,tsne_2,solubility,molecule_id
17.177126,-26.893444,-3.616127,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
-45.54512,34.561867,-3.2547672,O=C1Nc2cccc3cccc1c23
0.78646886,-7.753926,-2.177078,Clc1ccc(C=O)cc1
-53.370747,-6.1960797,-3.9244092,[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O
-24.7229,10.331874,-4.6620646,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3
-88.36644,-14.302005,-3.1231503,Cc1cccc(C=C)c1
-15.02421,-47.99242,-3.2861164,CCC1CCC(CCC(O)=O)C1
-16.520267,-48.416874,-2.6645486,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
-51.93342,14.553536,-4.396652,Fc1ccc(cc1)C(=O)c2ccc(F)cc2
-39.79554,-7.3230014,-4.5955024,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2
28.813269,17.024595,-2.282769,CN(C)c1ccc(C=O)cc1
-3.3816729,-10.145107,-2.39465,CC(=O)OC(C)(C)Cc1ccccc1
6.0060716,-9.710371,-1.9803098,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O
-50.00733,6.293176,-3.430239,CC(C)(C)c1ccc(OCC2CO2)cc1
-34.235023,15.254717,-3.5440598,COCCCCC(=O)c1ccc(cc1)C(F)(F)F
11.341379,-40.357735,-2.3206012,CC(C)=CCC\C(C)=C/CO
-8.004474,36.50427,-2.4660308,CC(Oc1ccc(Cl)cc1C)C(O)=O
-52.110752,-25.450377,-2.958195,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C
-88.29133,-10.932139,-3.4115138,FC(F)(F)c1cccc(Cl)c1
-26.883083,-31.419699,-3.5134687,CCC(C)(CCC(C)C)C(=O)OCC1CO1
-48.3386,-25.156837,-4.4543815,CC(C)CCCCCOC(=O)CCS
-6.0519104,-77.90228,-4.287343,CC(C)=C1CCC(=CC1)C
29.840387,-25.16725,-3.473139,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O
22.426098,-45.691055,-2.363208,[Zn++].CC(=C)C([O-])=O
22.07698,-7.184519,-3.4541028,CCNCC(O)c1cccc(O)c1
-43.306084,-21.179976,-2.990877,[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C
-84.7229,2.6647105,-3.512942,ClCc1ccc(Cl)cc1Cl
-12.269667,-75.979225,-4.2923136,CC1(C)C2CCC(=C)C1C2
14.897939,-31.794268,-4.809134,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO
-34.461376,-48.32844,-4.634145,CCCCCCCCCCCCOC(=O)C(C)O
100.99478,-11.294041,-0.76303375,NO
-37.234024,-8.44705,-2.5636258,C=CC(=O)OCCOc1ccccc1
38.591606,-2.930489,-2.6418192,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O
-31.479422,-46.524113,-3.5528262,OC(=O)CCCCCCCCC=C
13.141724,-29.043375,-4.057185,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O
-21.821218,11.993923,-4.7932277,CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3
-35.599598,-21.463043,-4.58725,CC(C)CCCCCCc1ccc(O)cc1
-84.78837,-7.648029,-4.4511395,CC(=C)c1cccc(c1)C(C)=C
45.515755,-64.75413,-4.2038484,[Mo]
-46.850956,-26.481169,-4.5813327,CC(C)(C)CCCCCC(=O)OC=C
-85.50272,-9.501038,-4.4720216,Cc1ccc(cc1)C(C)(C)C
-1.3809465,-39.526096,-1.445032,OC(=O)C1CCCCC1
61.912544,56.24088,-0.41089773,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1
-82.51102,-6.656678,-3.893739,C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2
-64.17527,11.66212,-7.9737153,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5
11.603089,40.194115,-3.0386996,[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O
-17.08218,16.01312,-3.8109627,C1CN(CCO1)Sc2sc3ccccc3n2
-15.721198,-68.159584,-2.5936885,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2
61.0003,56.30559,-0.4261365,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O
48.03229,66.047066,-3.3589113,[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1
-41.76003,-22.439762,-2.7031744,CCCN(CCC)C(=O)SCC
-24.47361,-33.194626,-1.8357972,C1CC(CCC1COCC2CO2)COCC3CO3
22.347609,-30.041212,-3.9054642,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO
35.574886,-75.57682,-4.141901,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
-12.30918,88.62023,-1.7796232,O=[P+]1Oc2ccccc2c3ccccc13
-29.30419,-6.6970434,-2.6229591,C=COC(=O)c1ccccc1
-49.35408,7.263812,-3.7398164,COC(=O)c1ccc(cc1)C(C)(C)C
-2.9728863,-11.103222,-2.8265355,Cc1cccc(CC(C)(C)CO)c1
-22.65051,-38.969063,-3.7549531,CC(=O)OC\C=C(C)/CCC=C(C)C
-20.581041,-58.615032,-2.6959999,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
5.3314214,-57.25366,-1.6471415,CC1CC(=O)CC(C)(C)C1
-40.92132,-9.11631,-3.9515188,C=CC(=O)OCCOc1ccccc1c2ccccc2
-52.570587,-19.430834,-5.123169,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
-44.49098,-2.4964094,-4.952869,Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2
-65.51094,-40.226864,-5.4730005,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
-23.496904,-36.426933,-3.823043,CCOC(=O)CC(C)CC(C)(C)C
-15.3777685,-92.93637,-2.6500869,[Ca++].[O-][Si]([O-])=O
35.274303,-27.690397,-1.0042604,CCc1ccc(C)nc1
4.1698914,-37.445133,-2.9799871,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O
-17.78518,-49.36931,-3.1784472,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
52.130184,61.77022,-1.4270313,[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O
55.033043,-70.08098,-4.229153,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo]
-37.671207,-8.36913,-2.9526472,CC(=C)C(=O)OCCOc1ccccc1
-44.72314,11.247666,-4.1510887,CCCCOCCOCCOCc1cc2OCOc2cc1CCC
58.25273,-43.572403,-0.17587438,CF
-81.44884,-1.7774444,-3.9885266,C(COc1ccccc1)Oc2ccccc2
-62.404156,8.346418,-7.2780385,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N
44.341984,66.610435,-1.4396051,[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5
5.1657343,-34.75769,-1.8579774,CCCC(CCC)C(O)=O
-56.883175,41.31874,-4.285896,[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3
36.213314,-28.075745,-4.0347567,Oc1ccccc1.ClCC2CO2.C=O
-33.394012,-36.783882,-4.0217533,CCCCCC/C=C/C1CC(=O)OC1=O
-5.0475826,-16.504292,-5.229283,CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3
-11.963713,-76.02838,-4.7725706,CC1=CC[C@H]2C[C@@H]1C2(C)C
4.5501018,-71.78776,-4.9095054,C[Si](C)(C)O[Si](C)(C)C
14.320297,-73.18695,-2.7599573,FC(=C)C(F)(F)F
-9.043774,10.771782,-1.8860303,O=C1Oc2ccccc2C=C1
